after_treatment,text
配置 高 安卓 平板 反应 灵敏 流畅 屏幕 挺 清晰 没有 网上 说 严重 拖影 送 一大堆 东西 都 有用 希望 耐用,配置很高的安卓平板了，反应很灵敏很流畅，屏幕也挺清晰，没有网上说的严重的拖影，送了一大堆东西都很有用。希望耐用吧！
帮 朋友 买 看着 还 不错,帮朋友买的，看着还不错
买 两个 小孩 玩 小孩 喜欢 应该 不错,买了两个，给小孩玩的。小孩很喜欢，应该不错。
屏幕 艳丽 真不错 看 图片 看到 眼球 高潮,屏幕艳丽，真不错。看图片能看到眼球高潮！
正品 儿子 喜欢 超赞,正品，儿子很喜欢，超赞
一段时间 不错 屏幕 清晰 音质 好 京东 购物 方便,用了一段时间，很不错，屏幕清晰，音质好，京东购物很方便。
小 平板 看 电视剧 真不错 非常 棒 声音 够 大,小平板看电视剧真不错，非常棒，声音够大，哈哈
听说 挺 便宜 呵呵 泪流,嗯，听说挺便宜的，呵呵，泪流过的
看着 不错 还 没有 使用 看 评价 都 说 不错 父母 买 玩游戏 接 打电话,看着不错！还没有使用！看评价都说不错！所以给父母买一个，玩游戏！接打电话……
想 知道 买 东西 没有 京东 豆,我就想知道 我买了这么多东西为什么没有京东豆
老爹 买 足以 满足 需求,给老爹买的，足以满足他的需求
买 好多 台 感觉 都 不错,买了好多台了感觉一直都不错
买 爸爸 主要 看 小说 还算 好,买给爸爸的 主要看小说用。还算好用
真的 挺 好,真的挺好的
帮 家里 老人 买 屏幕 尺寸 大 看 视频 舒服 特价 买到 划算,帮家里老人买的，屏幕尺寸大，看视频很舒服，特价买到很划算。
还 没 充电 电板 太大,还没充电，他的电板太大了
好 开机 升级 速度 不错 大小 正好 用来 看看 视频,很好，开机就升级。速度不错。大小正好!我也就用来看看视频
喜欢 16 10 比例 看 电影 舒服,很喜欢16:10的比例，看电影舒服
性价比 高 系统 运行 流畅 日常 办公 足够 当然 加个 存储卡,性价比高，系统运行很流畅，日常办公足够用。当然自己加个存储卡
外观 好看 外放 声音 好听,外观好看，外放声音很好听。
好好 好,好好好:！!
东西 确实 不错 好看 实惠,东西确实不错，好看，实惠
系统 流畅 外观 大方,系统流畅，外观大方！
京东 配送 很快 平板 不错,京东配送很快，平板用着不错
机子 质量 不错 系统 运行 速度快 上网 速度快 还 打电话 赞赞,机子是质量不错，系统运行速度快，上网速度快，还可以打电话，赞赞
地方 考古 发掘 横幅 反馈,有啥地方考古发掘的横幅反馈
画面 清晰 非常 不错 女朋友 喜欢,画面清晰非常不错女朋友很喜欢
妈妈 买 看电视,给妈妈买了看电视的 可以啊
到手 马上 升级 最新 版本 优化 不错 买来 看 视频 上网 不 觉得 卡 机子 挺重 久 手酸累 总体 来说 好评,首先到手马上升级最新版本，优化不错，买来就是看视频上网，所以不觉得卡，但机子挺重的拿久了手酸累。总体来说好评
老人 机 还 不错 不 知道 送 套子 机子 本身 问题 没有 感应 开关 屏,老人机，还不错，但是不知道是送的套子还是机子本身的问题，没有感应开关屏。
都 手机套 耳机 这是 情况 机子 拿到 还,为什么他们都有手机套，我怎么就一个耳机，这是什么情况，但是机子拿到了还可以
华为 平板 支持 国产 爱国 必须 支持 国货 音质 不错 华为 现在 真的 不错,华为平板 支持国产 爱国必须支持国货 音质不错 华为现在真的不错
音质 棒棒 哒 玩游戏 还 行 性能 中上 玩 王者 荣耀 类 游戏 完全 不卡顿 有点 大 不好 操作 玩 不了 多久 手 受不了 本来 想 买 七寸 玩 王者 农药 目前 华为 8.4 寸 好 伤心 没 办法 买 反正 之前 那台 平板 不好,音质棒棒哒！玩游戏还行，性能中上吧！像玩王者荣耀这类游戏完全不卡顿，就是有点大，不好操作玩不了多久手就受不了！本来想买七寸的可以玩王者农药，可目前华为只有8.4寸好伤心，没办法还是买了反正之前那台平板不好用了！
还 黑边 看着 看着 习惯,用着还可以，黑边看着看着就习惯了
配置 高 网速 快 屏幕 清 特意 半个 月 才 评论 支持,配置高，网速快，屏幕清，特意用了半个月 才评论的。很支持。
质量 没 问题 正品 价格,质量没问题，正品，价格一般！
价位 平板 还 挺 好 平时 看 视频 足够 支持 华为,这个价位的平板还挺好的，平时看视频用足够了。支持华为
速度快 音质 不错 完 游戏 挺爽,速度快，音质不错，完游戏挺爽
帮别人 买 目前为止 还 不错 都 华为 粉丝 快递 超快 京东 物流 没话说,是帮别人买的，目前为止还不错，一直都是华为的粉丝哟?，快递超快的，京东物流一直没话说
价 质量 还 正品 包装 好 小孩子 用来 学习 不错 快递 快 没话说 说明 天才 送到 当天 下单 当天 快递 哥 点赞,价，质量还可以，是正品，包装也很好，小孩子用来学习也不错，快递快的没话说，说明天才送到，当天下单当天到，快递哥我为你点赞。
一句 话 定义 超大 华为 手机 小孩 电子玩具 东西 还行 屏幕 四个 角 金属 边框 做工 不够 特别 精细 摸起来 有点 粗糙 感 快递 小哥 耽误 半天 送货 时间 态度 还 行,一句话定义，超大华为手机，小孩的一个电子玩具。东西还行吧，屏幕四个角的金属边框做工不够特别精细，摸起来有点粗糙感，快递小哥耽误了半天送货时间，不过态度还行。
大屏 玩游戏 舒服 家里 所有人 电话 都 换成 华为 支持 国货 支持 京东,大屏玩游戏很舒服！家里所有人的电话都换成华为的了，支持国货，支持京东
大气 好用 不错,大气，好用，不错！
来看 电子书 画面 清晰 速度快 爽,用来看电子书，画面清晰速度快，爽
哈哈哈哈 哈哈哈 哈哈哈,哈哈哈哈哈哈哈哈哈哈
送给 老人 家人 非常 喜欢 相信 华为,送给老人用，家人非常喜欢，相信华为
货已 收到 东西 还,货已收到，东西还可以
1 款 平板 IPAD4 IPAD MINI 开机 速度 快得多 使用 APP iPad4 iPad 迷你 快 2 华为 M3 清晰度 色彩 上述 两款 IPAD 不可 比拟 3 音量 IPAD MINI 大 IPAD4 差别 不大 4 音色 不是 档次 5 拿到 平板 电量 还 剩 50% 我装 程序 试看 视频 还 剩 20% 电量 使用 4 16 小时 现在 已 充满 正在 使用 时间 数据 以后 再补 6 网友 所说 拖 尾 电源插头 毛病 尚未 遇到 7 从不 玩游戏 游戏 使用 没有 发言权 8 以上 试用 不到 一天 体会 供 大家 参考,1，这款平板比我在用的IPAD4，IPAD MINI的开机速度快得多，使用APP也比iPad4，iPad迷你快。2.华为M3的清晰度，色彩是上述两款IPAD不可比拟的。3.其音量比IPAD MINI大，与IPAD4差别不大。4.其音色不是一个档次。5.我拿到平板的电量还剩50%，我装程序，试看视频到还剩20%的电量，是使用4:16小时。现在我已充满，正在使用，时间数据以后再补。6.其他网友所说的拖尾，电源插头等等毛病，我尚未遇到。7.我从不玩游戏，因此对游戏使用没有发言权。8.以上只是我试用不到一天的体会，供大家参考。
灰常好 清晰 怕 慢 买 4G 打开 程序 延迟 现象 来说 预期 差不多,灰常好，清晰，怕慢，买了4G的，不过还是有打开程序延迟现象，用的来说跟预期差不多
好 几天 感觉 挺 好 质量 不错 可惜 充电 口 不是 type c,用了好几天，感觉挺好的，质量不错。可惜的就是充电口不是type-c
流畅 度 不错 送货 快,流畅度不错，送货快。
东西 不错 放 惊喜 有点 沉 性价比 高,东西是不错 在放也惊喜 就是有点沉 性价比很高
电池 耐用 系统 反应 还 不错 华为 平板 推荐 大家 反应 电脑 正常 毕竟 配置 摆在 电影 王者 农药 没 压力,电池耐用，系统反应还不错，华为平板推荐大家用，反应不如电脑，那是正常的，毕竟配置摆在那里，电影王者农药啥的，没任何压力
华为 手机 好 京东 服务 好 支持 京东,华为的手机很好，京东服务好，支持京东
看上去 比较 大气 手感,看上去比较大气，手感也好。
平板 屏幕 清晰 分辨率 高 预装 应用 很少 玩 王者 流畅 客服 耐心 京东 物流 超快 下午 5 点下 单 第二天 早上 棒棒 哒,平板屏幕很清晰，分辨率也很高，预装应用很少，玩王者很流畅。客服也很有耐心，京东的物流超快，下午5点下的单，第二天早上就到了，棒棒哒！
速度 够快 秒 赞,速度够快，秒赞
第三次 帮 朋友 买 好 快 递给 力 赞,第三次帮朋友买了，很好用。快递给力。赞一个?
已经 买 几个 m2 平板 以前 价格 都 比较 高 这次 活动 秒杀 价格 便宜 平板 比较 流畅 清晰 推荐 购买,已经买了几个m2的平板了，但以前价格都比较高，这次活动秒杀价格很便宜，平板用的比较流畅，清晰！推荐购买！
智能 休眠 音质 不错 速度 还 玩游戏 差一点 日常 够用,可以智能休眠，音质不错，速度还可以，玩游戏差一点，日常够用了。
这款 平时 玩玩,一直在用这款，平时玩玩还是可以的
新 反应 非常 快 一段时间 稍微 有点 卡 价位 已经,新的反应非常快，用一段时间稍微有点卡，这个价位的已经可以了
没得说 完全 值 1888 价位 比上 一代 m2 好 好评 看 后期 会 不会 出现 问题 相信 华为,没得说，完全值1888的这个价位、比上一代m2好的多，好评，就看后期会不会出现问题了，相信华为。
感觉 还 机会 再 回来 追评 到手 九个 G 空间,感觉还可以，有机会再回来追评，到手有九个G的空间
两 月 后 上来 评价 流畅 度 还行 系统 有待 提升 更 完善 人性化 点 开机 键 顶部 好些 照相 色彩 屏幕 色彩 偏深 暖色 平板 重量 其实 顶部 底部 设计 更 宽 一点 值 价 有待 提升 空间,用了两月后上来评价，流畅度还行，系统有待提升和更完善人性化点，开机键还是在顶部好些，照相色彩和屏幕色彩偏深暖色，由于平板有些重量其实顶部和底部可以设计更宽一点，总的说来也就值这个价，有待提升空间！
没有 保护套 贴膜 遗憾,没有保护套和贴膜，这个遗憾
很棒 声音 效果 不错,很棒，声音效果不错。。。。。
手机 质量 好 相信 华为 手机 应该 久,手机质量很好，相信华为手机，应该可以用很久吧
华为 平板 没 说 值得 够买 配置 颇 高 性价比 高 值得 推荐 好几个 朋友 都 买 看 视频 打游戏 一点 都 不 耽误,华为平板没的说，值得够买，配置颇高，性价比高，值得推荐，好几个朋友都买了。看视频，打游戏，一点都不耽误。
感觉 没有 小米 平板 好用,感觉没有小米的平板好用！
华为 最大 特点 通话质量 好 应该 原封 缺点 游戏 会 闪退 大黑 满意,华为的最大特点通话质量好，应该是原封的，缺点是游戏会闪退，大黑边，不过很满意。
支持 国货 华为 产品价格 亲民 个人 觉得 这款 屏 有点 偏 大 有点 沉 不错 5 分,支持国货，华为的产品价格亲民。个人觉得这款屏有点偏大，拿着有点沉。用着还是不错的，5分
分辨 低 后悔 感觉 没,分辨低，后悔了，感觉没啥用
喜欢 京东 买 东西 今天 买 明天 送到 每个 商品 评价 都 京东 买 东西 太多太多 导致 积累 很多 未 评价 订单 统一 用段 话 评价 内容 省时省力 还 京东 豆 言 京东 买 东西 好 快,我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容，省时省力，还能得京东豆。总而言之、言而总之，在京东买东西又好又快！
不错 国产 平板 越做越 漂亮,很不错，国产的平板越做越漂亮了
速度 很快 音量 大 看 视频 重要,速度很快，音量也大，这个看视频很重要
看电视 电影 特别 舒服,看电视电影特别舒服。
不错 值 一买,不错哟，值的一买
真心 不 锗 双十 999 元,真心不锗，双十一999元
好评 屏幕显示 不错 性能 足够 老人,好评，屏幕显示不错，性能足够老人用了。
新机 放心 购买,是新机来的 放心购买
画质 清晰 音质 不错,画质清晰 音质不错
手机 非常 好 已经 第二次 购买 型号 手机 来用 看电视 非常 舒服,手机用的非常好已经第二次购买这个型号的手机来用的，看电视非常舒服。
第一次 买 平板 选择 国产 一下 特别 好用 没 失望 国产 雄起,第一次买平板，选择了国产用了一下特别好用果然没让我失望国产雄起！！！
巨大 屏幕 看起来 舒服 3g 内存 有点 遗憾 够用,巨大的屏幕看起来很舒服，3g内存有点遗憾，不过也够用了
早上 下 单 下午 送来 物流 棒棒 哒 东西 好 玩 会儿 游戏 流畅 价位 值,早上下的单，下午就送来了，物流棒棒哒。东西很好，拿着玩了会儿游戏，很流畅，这个价位值了。
长时间 感觉 好 清晰 声音 不错 价位 性价比 好,用了很长时间，感觉很好，很清晰，声音也很不错，这个价位性价比很好了
物流 很快 几小时 到货 个人 觉得 Wi Fi 版好,物流很快，几小时就到货了，我个人觉得Wi-Fi版好用
真心 不错 使用方便,真心不错?使用方便
关注 很久 买来 老公 玩游戏 安卓 系统 没用过 摸索 中 不错,关注很久了，买来给老公玩游戏的，安卓系统没用过，摸索中，其他还是不错的
还 行 运行 速度 不错 充电 太慢,还行，运行速度不错，就是充电太慢
东西 不错 双十 更 便宜 999,东西很不错，只是双十一更便宜，只要999.
音质 画面 都 好 携带方便 现在 国产 平板 电脑 质量 非常 不错,音质画面都很好，携带方便，现在国产平板电脑质量也非常不错
刚刚 回来 颜值 还 用后 追评,刚刚拿回来！颜值还可以！用后追评！
款 华为 平板 质量 不错 包装 精美 快递 员 送过来 完整 没有 破损 打开 之后 系统 立刻 提示 进行 升级 升级 安卓 6.0 版本 感觉 运行 软件 都 方便 大黑 边有 一定 心理准备 没 觉得 真的 不错 平时 使用 起来 谱 以后 机会 还 买 值得 推荐 尤其 运行 软件 快捷 屏幕 看着 舒服 没有 不 适应 感觉 手里 轻便 金属外壳 导热 效果 好 夏天 不用 担心 烫手 外观 靓丽 购买 配套 膜 皮套 使用 起来 不错 以后 机会 还会 购买 真的 不错 选择 老婆 喜欢 看 电影 非常 方便,这款华为平板质量很不错的，包装很精美，快递员送过来的时候是很完整的，没有任何破损，打开之后，系统立刻提示进行升级，升级到了安卓6.0的版本，感觉运行各种软件都很方便，对于大黑边有一定的心理准备，所以没觉得怎么样，真的很不错的，平时使用起来很靠谱的，以后有机会还买的，值得推荐。尤其是运行各种软件很快捷的屏幕，看着很舒服的，没有任何不适应的感觉，拿在手里很轻便，而且是金属外壳，导热效果很好，夏天不用担心烫手外观很靓丽，购买了配套的膜和皮套使用起来很不错的，以后有机会还会购买的。真的很不错的选择！老婆很喜欢的，用它看电影非常方便的。
ipad 坏 赶上 618 买 华为 华为 mate8 手机 对华 感觉 还 不错 系统 运行 mate8 差不多 950 cpu 性能 有待 商榷 玩游戏 偶尔 会 轻微 卡顿 发热量 不小 平 放在 床上 玩游戏 一会 烫手 程度 尺寸 略 小 更 喜欢 9.7 尺寸 颜色 略艳 亮度 色调 调 看着 都 不是 舒服 看久 累 眼睛 拿到 手 50% 电 更新 完 系统 玩 会 游戏 大概 2 半小时 剩 12% 电 记得 当初 刚 拿到 ipad 连看 电影 玩游戏 50% 电整 晚上 才 没 买 白色 发了 金色 没 区别 不 折腾 总体 感受 便宜 音质 听 那么回事 外观 还 算 喜欢,ipad坏了，赶上618就买了华为这个，因为我是华为mate8手机，对华为感觉还不错。系统运行和我的mate8差不多，950的cpu性能还是有待商榷，玩游戏偶尔会轻微卡顿。发热量不小，要是平放在床上玩游戏一会就能到烫手的程度。尺寸略小，我还是更喜欢9.7的尺寸。颜色略艳，亮度色调怎么调看着都不是那么舒服，看久了很累眼睛。拿到手50%的电，更新完系统，玩了会游戏，大概2个半小时剩12%的电。我记得我当初刚拿到ipad的时候连看电影在玩游戏50%多的电整到晚上才用没。。我买的白色发了个金色给我，没啥区别就不折腾了。总体感受就是便宜。音质在我听就那么回事，外观还算喜欢。
好 分辨率 高 好 手机,很好，分辨率很高，好手机
之前 华为 喜欢 好,之前一直用华为，很喜欢，很好用
平板 大黑 几乎 完美 曼哈顿 音响 看 电影 王者 都 震撼 后面 金属 背面 手感 非常 不错 屏幕 质量 已经 算 不错 王者 基本 没卡 网络 原因 学习 看 ppt 单手 看着 很棒,这个平板呢，除了大黑边，几乎是完美的。曼哈顿的音响看电影，打王者都是很震撼的。后面的金属背面手感也是非常不错。 屏幕质量已经算不错了。打王者的时候基本没卡除了网络原因。学习的时候看ppt什么的单手拿看着很棒。
指纹 解锁 很快 系统 流畅 音质 非常 好 4G 运行 内存 剩下 2.5 G 平板 内存 系统 占 有点 多哈 电池 耐用 第一次 京东 买 东西 京东 快递 比顺丰 还 快 遇到 搞 活动 买 没 送 一张 膜 4 分 留 一分 代表 进步 空间,指纹解锁很快，系统很流畅，音质非常好，4G运行内存剩下2.5G，平板内存系统占的有点多哈，电池很耐用，第一次用京东买东西，在我这里京东快递比顺丰还快。遇到搞活动买的，什么也没送（有一张膜），打4分吧，留一分代表有进步的空间
华为 大 品牌 一段时间 才 评价 机器 好 性价比 高 相信 华为 送货 很快,华为大品牌，用了一段时间才来评价，机器很好用。性价比很高，相信华为，送货很快
送货 快 包装 看上去 完好 看吧,送货快，包装看上去完好。等用用看吧
出差 在外 本来 担心 酒店 能否 及时 收到 货 按时 收到 以后 出差 京东 网购,出差在外，本来很担心在酒店能否及时收到货。结果按时收到，以后即使出差也可以通过京东网购了?
平板 手机 很大 系统 流畅 玩游戏 发热 小 换卡 关机 重启 这点 不是 好,平板手机很大，系统流畅。玩游戏发热小，除了换卡要关机重启这点不是很好。
运行 速度快 指纹 解锁 灵敏 操作 流畅 屏幕 清晰 音质 遗憾 没有 送 耳机 电池 续航 人 失望 京东 送货 速度 非常 快 快递 员 蛮 客气,运行速度快、指纹解锁灵敏、操作流畅，屏幕清晰、音质也好，遗憾的是，没有送耳机，电池的续航让人失望。京东的送货速度非常快，快递员也蛮客气的。
送给 妈妈 方便 妈妈 看 电视剧 功能 够用,送给妈妈的，方便妈妈看?电视剧了，功能够用了……
不错 到手 看 没有 问题 玩 荣耀 不卡 网速 快 关系 8.4 寸屏 来说 有点 大 看电视 不错,不错，到手看了没有问题，玩荣耀也不卡（这和网速快也是有关系的），就是8.4寸屏对我来说有点大了，看电视是不错的。
这台 一千块 不到 价钱 远远 超出 个人 想象 简直 完美无缺,这台一千块不到的价钱 远远超出我个人想象 简直完美无缺
触屏 灵敏 屏幕 清晰 东西 不错 活动 购买 合适,触屏灵敏，屏幕清晰，东西不错，活动购买很合适。
非常 漂亮 大屏 玩游戏 好,非常漂亮，大屏玩游戏很好
小孩 玩 挺 好,给小孩玩挺好
老爸 喜欢 看 谍战剧 力 打电话 不错 几天 没什么 不对,老爸很喜欢，看他的谍战剧很给力，又能打电话，很不错，用了几天没什么不对的
关注 收到 看 质量 不错 色彩 好 亮度 不错 画面 细腻 流畅,一直关注，收到看质量不错，色彩好，亮度也不错，画面细腻，流畅。
活动 买 价格 白菜 物有所值,活动买的 价格白菜 物有所值
非常 好 性价比 高,非常好，性价比很高
京东 线下 体验 店 买 不错,京东线下体验店买的，很不错！
不错 平板 色彩 速度 都行 没 华为 手机 后退 切换 桌面 方便 可能 没 找到 窍门 满意,不错的平板，色彩，速度都行，就是没华为手机后退和切换到桌面方便，也可能是我没找到窍门，总之满意。
特价 买 价格 好 老爷子 喜欢,特价买的 价格好 老爷子喜欢
还 担心 评论 上 问题 到货 看到 包装 比较满意 箱子 密封 不 彻底 胶带 剪开 东西 没 问题 不 知道 以后 玩 一上午 王者 农药 后来 7p 都 感觉 好 小,开始还担心其他评论上的问题。结果到货看到包装什么的还是比较满意的就是。 箱子密封不彻底胶带被剪开过 不过东西没问题。就是不知道以后怎么样。玩了一上午王者农药。后来哪些7p都感觉好小
挺 好 平板 电脑 挺好用 外地 老爸 老妈 出门 使用 好 微信 视频,挺好的，一个平板电脑挺好用的。给外地老爸老妈出门使用的，好微信视频
儿子 买 儿子 说 非常 好用,给儿子买的，儿子说非常好用
~ 大少 合适 质量 非常 好 京东 东西 值得 信赖 ~,~大少合适，质量非常好，京东的东西值得信赖~
支持 国产 性价比 不错 人群 京东 值得 信赖,支持国产 性价比很不错 是个各种人群 京东值得信赖
快递 非常 给力 平板 挺 型 运行 流畅 看 电影 清晰,快递非常给力，平板也挺有型。运行流畅，看电影也很清晰
货真价实 物美价廉 棒棒 哒,货真价实，物美价廉，棒棒哒???
还 不错 运行 流畅 好多 应用 需要 华为 账号 外形 还 行 黑边 有点 大,还不错，运行流畅，就是好多应用需要华为账号外形还行，就是黑边有点大，
京东 上 买 东西 购物 体验 非常 不错 自营 速度 非常 快 头 天下 单 第二天 基本上 方便使用 时效性 点赞 质量 非常 不错,一直在京东上买东西！购物体验还是非常不错的！自营的速度也非常快！头天下单的，第二天基本上就能到，方便使用，时效性点赞！！！！！！！质量也非常不错
父母 买 父母 满意 感人 大黑 都 不错,给父母买的，父母很满意，除了感人的大黑边，其他都不错
不卡 好,不卡 ，很好
手机 不错 值得 信赖 一款 手机 支持 国产,手机不错，值得信赖的一款手机。支持国产。
不错 屏幕 很大 姨妈 挺 喜欢,不错，屏幕很大，姨妈挺喜欢的
不错 3 台 X2 没 毛病 好用 屏幕 清晰 通话 好 外放 不错 值得 玩 喜欢 大屏 全家 都 华为 苹果 差 支持 华为,不错，第3台X2了，没毛病，一直好用，屏幕清晰，通话好，外放不错，值得玩。就喜欢大屏。全家都是用华为，不比苹果差。支持华为。
挺 好 第一次 买 华为 机器 没有 送 平板 套 画质 方面 都,挺好的呀，第一次买华为的机器，就是没有送平板套，画质方面都是可以的。
刚 拿到 手 没 升级 emu5.0 安卓 7.0 时连 WIFI 上网 视频 都 看 不了 还 卡 花 两个 小时 升级 之后 真的 意外 上网 速度 提高 运行 非常 流畅 王者 荣耀 流畅 自带 应用 市场 没有 王者 荣耀 下载 去 百度 下载 好多 游戏 华为 应用 市场 都 找 不到 这点 遗憾,刚拿到手没升级emu5.0和安卓7.0时连WIFI上网连视频都看不了，还很卡，花了两个小时升级之后真的很让我意外，不仅上网速度提高了，而且运行非常流畅，王者荣耀也很流畅，不过在自带的应用市场没有王者荣耀下载，我是去百度下载的，好多游戏在华为应用市场都找不到，这点很遗憾。
非常 高大 上,非常之高大上
好 这次 满意 华为 产品 感觉 手机 质量 好 玩 王者 荣耀 无 压力 保送 王者,很好，这次很满意华为的产品。感觉要比手机的质量好。玩王者荣耀无压力。保送王者。。
玩儿 几天 反正 感觉 苹果 差 地方 好过 苹果 速度 肯定 苹果 快 更 流畅 优化 更 舒服 华为 款 质感 没得说 档次 高 看起来 app 有时候 很卡 有时候 莫名其妙 打不开 不 懂 原因 储存 问题 不 知道 sd 卡 不够 好 原因 有时候 会 提示 无故 弹 出 重启 暂时 没 感觉 性价比 高 屏幕 最棒,玩儿几天，反正感觉不比苹果差，甚至有些地方好过苹果，速度肯定苹果快，也更流畅，优化更舒服。华为这款质感没得说，档次很高看起来。app什么的，有时候很卡，有时候莫名其妙就是打不开，不懂什么原因，然后储存问题，不知道是我sd卡不够好还是什么原因，有时候会给我提示无故弹出，重启。其他暂时也没感觉什么。是性价比很高，屏幕最棒
不错 看电视 玩 小游戏 都 不错,很不错的，看电视玩小游戏都不错
好 板子 多多 买,好板子，多多买
商品 暂且不说 先给 快递 小哥 赞 火车 提前 快递 小哥 电话 及时 送过来 32 个赞,"商品怎样暂且不说,先给快递小哥赞一个,因为赶火车提前给快递小哥打的电话,他就及时给送过来了,32个赞."
买套 送 钢化 膜 非常 好 质量 好,买套送钢化膜也非常好！质量很好。
今天 早上 下单 宝宝 今天 晚上 玩 上 速度 太快 平板 挺 好 高清 运行 速度 快 价格低 实惠 喜欢,今天早上下单，宝宝今天晚上就玩上了，这速度也太快了。平板挺好的，高清，运行速度也快，价格低很实惠很喜欢！
几天 才 评价 处 像素 一点 外 都 好,用了几天才评价，处了像素地一点外其它都好……
原本 已经 买过 一台 再 一次 京东 购物 东西 非常 好用,原本已经买过一台了，再一次的京东购物，东西非常好用。?
感觉 还 没有磨损 应该 新机 一段时间 再 评论,感觉还可以，没有磨损，应该是新机，用一段时间再评论。
已经 第二次 购买 第一次 妈妈 买 这次 买,已经是第二次购买了，第一次给妈妈买了个，这次自己又买了一个
还 行 外观 上 厚度 上 都 蛮 满意,还行！外观上和厚度上都蛮满意的
实际 相结合 可行,与实际相结合可行
还 行 包装 不错 发货 很快,还行，包装的不错，发货也很快
还 不错 送来 包装 都 破 屏幕 比例 看着 有点 不 舒服 续航 满意,还不错，但是送来的时候包装都破了，屏幕比例看着有点不舒服，续航很满意！
一如既往 满意 机器 收到 后 非常 惊艳 商品信息 描述,一如既往的满意 机器收到后非常惊艳 和商品信息描述的一样
不错 孩子 看电视 特别 清晰 反应 很快 不卡 满意 一次 购物,很不错哦！孩子看电视特别清晰，反应很快，不卡。很满意的一次购物
一次性 买 六台 三台 昨天 下单 今天 三台 三台 昆明 没有 需要 再 调到 昆明 外观 配置 正好 搭配 智能 钢琴 棒棒 哒 今后 继续 支持 华为,一次性买了六台，到了三台。昨天下单今天到了三台，另外三台昆明没有，需要再调到昆明。外观和配置正好，搭配智能钢琴用棒棒哒！今后继续支持华为
喜欢 京东 理由 快 发货 快 送货 快 宝贝 收到 正在 安装 孩子 做作业 希望 不要 失望,喜欢京东的理由就是快，发货快，送货快，宝贝收到了！正在安装，给孩子做作业用，希望不要让我失望！
优质 优价 应为 华为 点赞,优质，优价，应为华为点赞???!
尺寸 比例 16 10 手机 差不多 很多 手机软件 都 看 电影 黑边 很小 现在 电影 都 16 9 不 喜欢 4 3,尺寸比例16:10和手机差不多，很多手机软件都能用。看电影也上下黑边很小，现在电影都是16:9。不喜欢4:3的。
喜欢 两天 感觉 平板 反应 灵敏 看电视 清晰 大爱 好评,很喜欢，用了两天，感觉平板反应很灵敏，看电视很清晰，大爱，好评
手机 质量 好 华为,手机质量很好，一直用华为的
喜欢 好用 支持 国货 没 毛病 物流 力,很喜欢好用。支持国货，没毛病！物流很给力。
支持 国货 支持 华为,支持国货，支持华为！
货到 很快 开机 更新 系统 后 流畅 不错,货到的很快 开机更新系统后 很流畅 不错。
信赖 京东 自营 售后服务 快 产品 保证 原装 正品 送货 小哥 速度快 态度 好,信赖京东自营，售后服务快，产品保证原装正品，送货小哥速度快，态度好。
京东 服务 好 物流 没 说 配送 员 都 送货上门 态度 还 特别 好 以后 买 东西 只 买,京东服务很好，物流没的说 配送员都是送货上门 态度还特别好 以后买东西只在这买
秒杀 实惠 赚,秒杀的，很实惠，赚了！
平板 不错 对得起 价 点 买成 台电 还好 没买,平板不错，对得起这个价，着点就买成台电了，还好没买
京东 快递 小哥 冒雨 送货 超赞 手感 还 黑边 太 大 后续 用用 再 追评,京东快递小哥冒雨送货超赞，手感还可以就是黑边太大。后续用用再追评吧
手机 收到 很久 才 评价 好 很大 满分,手机收到很久了才来评价，很好用很大，给满分
挺好用 老板 满意 不知 是否 全新,挺好用的 老板满意 不知是否全新
挺 好 屏幕 看起来 很大 可惜 没有 送套 没有 贴膜,挺好的，屏幕看起来很大。可惜没有送套，也没有贴膜
不错 感觉 启动 更新 系统 有点 慢 性价比 的确 不错,哈哈?不错，虽然感觉启动或更新系统有点慢，但是性价比的确不错
客服 态度 好 发货 速度 派送 速度 平板 收到 打开 一瞬间 非常 满意 平板 运行 好 机身 薄 拍照 清晰 非常 满意,客服态度好，发货速度，派送速度，平板收到打开的一瞬间非常满意，这平板运行好，机身薄，拍照清晰，我非常满意
好 清溪 不卡,很好用，很清溪，不卡。
华为 值得 信赖 只不过 降价 太快 便宜 300,华为值得信赖，只不过降价太快，又便宜300
目前 还 没 发现 问题 感觉 还 行,目前还没发现问题，感觉还行
机子 好 声音 很大 音效 不错 大 品牌 质量 不错 送货 快,机子很好用，声音很大，音效不错，大品牌，质量不错，送货快
信赖 品牌 使用 后 再 评价 物流 非常 快,信赖自己的品牌，使用后再评价。物流非常快！
好 一款 平板 电脑 效果 相当 不错,很好的一款平板电脑，效果相当不错
平板 电脑 还 不错 快递 力,平板电脑还不错！快递也很给力！
好 很棒,很好可以很棒
